"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"dx";"Lx";"Sx";"Tx";"ex"
"TABMORT CELADE 1950-1962";1962;1962.5;"m";90;0.267301;0.235788;0.5;0.033045;0.007792;0.029149;0.772577;0.104874;3.173681
"TABMORT CELADE 1950-1962";1962;1962.5;"m";91;0.287073;0.25104;0.5;0.025253;0.00634;0.022083;0.757605;0.075725;2.998612
"TABMORT CELADE 1950-1962";1962;1962.5;"m";92;0.307613;0.266607;0.5;0.018914;0.005043;0.016392;0.742294;0.053641;2.836108
"TABMORT CELADE 1950-1962";1962;1962.5;"m";93;0.328888;0.282442;0.5;0.013871;0.003918;0.011912;0.726693;0.037249;2.685342
"TABMORT CELADE 1950-1962";1962;1962.5;"m";94;0.35087;0.298502;0.5;0.009953;0.002971;0.008468;0.710848;0.025337;2.545528
"TABMORT CELADE 1950-1962";1962;1962.5;"m";95;0.373531;0.314747;0.5;0.006982;0.002198;0.005883;0.6948;0.016869;2.415944
"TABMORT CELADE 1950-1962";1962;1962.5;"m";96;0.396833;0.331131;0.5;0.004785;0.001584;0.003992;0.678591;0.010985;2.295968
"TABMORT CELADE 1950-1962";1962;1962.5;"m";97;0.420701;0.347586;0.5;0.0032;0.001112;0.002644;0.662274;0.006993;2.185083
"TABMORT CELADE 1950-1962";1962;1962.5;"m";98;0.445031;0.364029;0.5;0.002088;0.00076;0.001708;0.645922;0.004349;2.082844
"TABMORT CELADE 1950-1962";1962;1962.5;"m";99;0.469664;0.380346;0.5;0.001328;0.000505;0.001075;0.629628;0.002641;1.988862
"TABMORT CELADE 1950-1962";1962;1962.5;"m";100;0.52556;1;1.902732;0.000823;0.000823;0.001566;0.592819;0.001566;1.902732
"TABMORT CELADE 1950-1962";1950;1950.5;"f";0;0.144389;0.132;0.35;1;0.132;0.9142;0.9142;48.487196;48.487196
"TABMORT CELADE 1950-1962";1950;1950.5;"f";1;0.03103;0.030556;0.5;0.868;0.026523;0.854739;0.934958;47.572996;54.807599
"TABMORT CELADE 1950-1962";1950;1950.5;"f";2;0.023257;0.02299;0.5;0.841477;0.019345;0.831805;0.973168;46.718257;55.51933
"TABMORT CELADE 1950-1962";1950;1950.5;"f";3;0.017492;0.01734;0.5;0.822132;0.014256;0.815004;0.979802;45.886453;55.813974
"TABMORT CELADE 1950-1962";1950;1950.5;"f";4;0.013252;0.013165;0.5;0.807876;0.010636;0.802558;0.984729;45.071448;55.790045
"TABMORT CELADE 1950-1962";1950;1950.5;"f";5;0.01016;0.010109;0.5;0.79724;0.008059;0.793211;0.988353;44.26889;55.527651
"TABMORT CELADE 1950-1962";1950;1950.5;"f";6;0.007926;0.007895;0.5;0.789181;0.006231;0.786066;0.990992;43.475679;55.089595
"TABMORT CELADE 1950-1962";1950;1950.5;"f";7;0.006328;0.006308;0.5;0.782951;0.004939;0.780481;0.992895;42.689613;54.524012
"TABMORT CELADE 1950-1962";1950;1950.5;"f";8;0.0052;0.005186;0.5;0.778012;0.004035;0.775994;0.994251;41.909132;53.866972
"TABMORT CELADE 1950-1962";1950;1950.5;"f";9;0.004421;0.004411;0.5;0.773977;0.003414;0.77227;0.9952;41.133138;53.145189
"TABMORT CELADE 1950-1962";1950;1950.5;"f";10;0.003908;0.003901;0.5;0.770562;0.003006;0.769059;0.995843;40.360868;52.378455
"TABMORT CELADE 1950-1962";1950;1950.5;"f";11;0.003605;0.003598;0.5;0.767557;0.002762;0.766176;0.99625;39.591809;51.581618
"TABMORT CELADE 1950-1962";1950;1950.5;"f";12;0.003467;0.003461;0.5;0.764795;0.002647;0.763471;0.99647;38.825633;50.766097
"TABMORT CELADE 1950-1962";1950;1950.5;"f";13;0.003468;0.003462;0.5;0.762147;0.002638;0.760828;0.996539;38.062162;49.940686
"TABMORT CELADE 1950-1962";1950;1950.5;"f";14;0.003575;0.003569;0.5;0.759509;0.002711;0.758154;0.996485;37.301334;49.112423
"TABMORT CELADE 1950-1962";1950;1950.5;"f";15;0.003763;0.003756;0.5;0.756798;0.002842;0.755377;0.996338;36.54318;48.286547
"TABMORT CELADE 1950-1962";1950;1950.5;"f";16;0.003994;0.003986;0.5;0.753956;0.003005;0.752453;0.996129;35.787803;47.466702
"TABMORT CELADE 1950-1962";1950;1950.5;"f";17;0.004228;0.004219;0.5;0.750951;0.003168;0.749367;0.995898;35.03535;46.654655
"TABMORT CELADE 1950-1962";1950;1950.5;"f";18;0.004439;0.004429;0.5;0.747782;0.003312;0.746126;0.995676;34.285983;45.850216
"TABMORT CELADE 1950-1962";1950;1950.5;"f";19;0.004607;0.004596;0.5;0.74447;0.003422;0.742759;0.995487;33.539857;45.051966
"TABMORT CELADE 1950-1962";1950;1950.5;"f";20;0.00474;0.004729;0.5;0.741049;0.003505;0.739296;0.995337;32.797097;44.25769
"TABMORT CELADE 1950-1962";1950;1950.5;"f";21;0.004858;0.004846;0.5;0.737544;0.003574;0.735757;0.995213;32.057801;43.465614
"TABMORT CELADE 1950-1962";1950;1950.5;"f";22;0.004981;0.004968;0.5;0.73397;0.003646;0.732147;0.995093;31.322044;42.67483
"TABMORT CELADE 1950-1962";1950;1950.5;"f";23;0.005131;0.005118;0.5;0.730324;0.003738;0.728455;0.994957;30.589897;41.885406
"TABMORT CELADE 1950-1962";1950;1950.5;"f";24;0.005319;0.005305;0.5;0.726586;0.003855;0.724658;0.994789;29.861443;41.098312
"TABMORT CELADE 1950-1962";1950;1950.5;"f";25;0.005548;0.005533;0.5;0.722731;0.003999;0.720732;0.994582;29.136784;40.314833
"TABMORT CELADE 1950-1962";1950;1950.5;"f";26;0.005812;0.005795;0.5;0.718733;0.004165;0.71665;0.994337;28.416053;39.536339
"TABMORT CELADE 1950-1962";1950;1950.5;"f";27;0.0061;0.006082;0.5;0.714567;0.004346;0.712395;0.994062;27.699403;38.763876
"TABMORT CELADE 1950-1962";1950;1950.5;"f";28;0.0064;0.00638;0.5;0.710222;0.004531;0.707956;0.99377;26.987008;37.998007
"TABMORT CELADE 1950-1962";1950;1950.5;"f";29;0.006697;0.006675;0.5;0.705691;0.00471;0.703336;0.993473;26.279052;37.238769
"TABMORT CELADE 1950-1962";1950;1950.5;"f";30;0.006977;0.006953;0.5;0.70098;0.004874;0.698543;0.993187;25.575716;36.485637
"TABMORT CELADE 1950-1962";1950;1950.5;"f";31;0.007228;0.007202;0.5;0.696106;0.005014;0.6936;0.992923;24.877173;35.737601
"TABMORT CELADE 1950-1962";1950;1950.5;"f";32;0.007445;0.007417;0.5;0.691093;0.005126;0.68853;0.99269;24.183573;34.993235
"TABMORT CELADE 1950-1962";1950;1950.5;"f";33;0.007628;0.007599;0.5;0.685967;0.005213;0.68336;0.992492;23.495044;34.251
"TABMORT CELADE 1950-1962";1950;1950.5;"f";34;0.007791;0.007761;0.5;0.680754;0.005283;0.678112;0.99232;22.811683;33.509449
"TABMORT CELADE 1950-1962";1950;1950.5;"f";35;0.007954;0.007922;0.5;0.67547;0.005351;0.672795;0.992159;22.133571;32.767639
"TABMORT CELADE 1950-1962";1950;1950.5;"f";36;0.008138;0.008105;0.5;0.670119;0.005431;0.667404;0.991987;21.460776;32.025308
"TABMORT CELADE 1950-1962";1950;1950.5;"f";37;0.008366;0.008331;0.5;0.664688;0.005538;0.661919;0.991782;20.793373;31.282901
"TABMORT CELADE 1950-1962";1950;1950.5;"f";38;0.008648;0.008611;0.5;0.65915;0.005676;0.656312;0.991529;20.131454;30.541522
"TABMORT CELADE 1950-1962";1950;1950.5;"f";39;0.008984;0.008944;0.5;0.653474;0.005845;0.650552;0.991223;19.475141;29.802457
