"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"Lx";"Tx";"Sx";"ex"
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";71;0.059670075356527;0.0579413917505193;0.5;0.334527622023268;0.324836124023758;3.02154039382276;0.944985245655969;9.03225980428186
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";72;0.0664199859857527;0.0642850789638178;0.5;0.315144626024248;0.305015077439752;2.696704269799;0.938981396716346;8.55703714139014
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";73;0.0738349727438939;0.0712062181555389;0.5;0.294885528855256;0.284386687205967;2.39168919235925;0.932369276932352;8.11056819791655
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";74;0.0818493907340507;0.07863142367392;0.5;0.273887845556678;0.263119749945125;2.10730250515328;0.925218239047037;7.6940343988985
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";75;0.0849002385733762;0.0814429745870914;0.5;0.252351654333573;0.242075519648123;1.84418275520815;0.92002033180181;7.30798757820071
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";76;0.0924988199497486;0.0884099136093849;0.5;0.231799384962674;0.221552703163044;1.60210723556003;0.915221429598041;6.91161124443024
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";77;0.100702636161908;0.0958751937836352;0.5;0.211306021363415;0.201176518490482;1.38055453239699;0.908030078705168;6.5334367827722
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";78;0.109546226731215;0.103857621457254;0.5;0.191047015617549;0.181126171303276;1.1793780139065;0.900334555256982;6.17323442658463
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";79;0.119063627872083;0.112373811060732;0.5;0.171205326989003;0.161585829455177;0.998251842603228;0.892117512850304;5.83072886901088
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";80;0.129287846500953;0.121437640959076;0.5;0.15196633192135;0.142739115494484;0.836666013148051;0.883364067107624;5.5056011589532
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";81;0.140250259628367;0.131059682387536;0.5;0.133511899067617;0.124762885524238;0.693926897653567;0.874062341580502;5.19749102888669
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";82;0.151979940836355;0.14124661475914;0.5;0.116013871980859;0.107820588639661;0.569164012129329;0.864204031404146;4.9059996223834
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";83;0.164502918844785;0.152000644039401;0.5;0.0996273052984623;0.0920555980138241;0.461343423489668;0.853784969784171;4.63069258078979
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";84;0.177841377105486;0.163318944138944;0.5;0.084483890729186;0.0775849808138657;0.369287825475844;0.842805679261511;4.37110344100511
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";85;0.192012807859516;0.175193144101211;0.5;0.0706860708985454;0.0644942133961068;0.291702844661979;0.831271886898251;4.12673729001935
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";86;0.207029139008458;0.187608885944722;0.5;0.0583023558936681;0.0528333358750862;0.227208631265872;0.819194980340291;3.89707461702328
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";87;0.222895857260959;0.200545479027173;0.5;0.0473643158565043;0.0426149661503858;0.174375295390786;0.806592380445943;3.68157530067732
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";88;0.239611156010917;0.213975676418491;0.5;0.0378656164442673;0.0338144559984347;0.1317603292404;0.793487806117348;3.47968266763415
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";89;0.257165140891825;0.227865596746029;0.5;0.0297632955526021;0.026372280001491;0.097945873241965;0.779911408384385;3.29082755869089
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";90;0.275539129475054;0.24217481115222;0.5;0.02298126445038;0.020198522761225;0.071573593240474;0.765899753835581;3.11443234096245
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";91;0.294705083645195;0.256856609370515;0.5;0.01741578107207;0.0151791018342144;0.051375070479249;0.751495642213682;2.94991480810701
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";92;0.314625213308934;0.271858451640344;0.5;0.0129424225963589;0.0111831691125983;0.0361959686450346;0.736747749289811;2.79669191571736
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";93;0.335251787857707;0.287122604595248;0.5;0.00942391562883777;0.00807100602841889;0.0250127995324362;0.721710093727059;2.65418330528082
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";94;0.356527186922009;0.302586949898667;0.5;0.00671809642800001;0.00570169227436318;0.0169417935040173;0.706441335105797;2.52181457732677
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";95;0.378384214335194;0.318185944940742;0.5;0.00468528812072635;0.00393989170671988;0.0112401012296541;0.691003919035585;2.39902028221727
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";96;0.400746689023775;0.333851706101265;0.5;0.0031944952927134;0.00266125144091099;0.00730020952293427;0.675463093661168;2.28524660517921
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";97;0.423530314195166;0.349515177684763;0.5;0.00212800758910858;0.00175612211379767;0.00463895808202328;0.659885829200913;2.17995373031848
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";98;0.446643812415449;0.365107344313024;0.5;0.00138423663848677;0.00113153915699742;0.00288283596822561;0.644339677808869;2.08261787621594
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";99;0.469990299907762;0.380560441816564;0.5;0.000878841675508076;0.000711615487348995;0.00175129681122818;0.628891614530858;1.99273300303576
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";100;0.60533710718795;1;1.90981219767968;0.000544389299189914;0.00103968132387919;0.00103968132387919;0.593663688081554;1.90981219767968
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";0;0.180268387383383;0.160047775488077;0.29915;1;0.887830516549181;46.07713153124;0.887830516549181;46.07713153124
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";1;0.0333188767084794;0.0327728986241604;0.5;0.839952224511923;0.826188389960389;45.1893010146908;0.930569939374936;53.799846819799
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";2;0.0243165785012857;0.0240244819012337;0.5;0.812424555408856;0.802665515895087;44.3631126247304;0.971528437882756;54.6058244170187
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";3;0.017836749824191;0.0176790811503904;0.5;0.792906476381318;0.78589754741101;43.5604471088354;0.979109643865318;54.9376861034575
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";4;0.0132240674308329;0.0131372037964047;0.5;0.778888618440703;0.773772409183125;42.7745495614244;0.984571604444079;54.9174150818341
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";5;0.0099698549330027;0.00992040244636905;0.5;0.768656199925547;0.764843510502468;42.0007771522412;0.988460562079122;54.6418244675701
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"m";6;0.00769733981048262;0.00766782886827873;0.5;0.761030821079389;0.758113094029628;41.2359336417388;0.991200269884726;54.1843148786705
